typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20230101","2023","52","2023","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","EB10","EB","true","200","Total EBOPS 2010 Services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","17384000000",,"17384000000","0","true","false",
"S","A","20230101","2023","52","2023","36","AUS","Australia","X","Export","842","USA","USA","0","W00","World","EB10","EB","true","200","Total EBOPS 2010 Services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12114000000",,"12114000000","0","true","false",
"S","A","20230101","2023","52","2023","40","AUT","Austria","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3904460986.82",,"3904460986.82","0","true","false",
"S","A","20230101","2023","52","2023","40","AUT","Austria","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3116216162.84",,"3116216162.84","0","true","false",
"S","A","20230101","2023","52","2023","56","BEL","Belgium","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","11377108419.64",,"11377108419.64","0","true","false",
"S","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12441076741.72",,"12441076741.72","0","true","false",
"S","A","20230101","2023","52","2023","100","BGR","Bulgaria","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","253665619.894",,"253665619.894","0","true","false",
"S","A","20230101","2023","52","2023","100","BGR","Bulgaria","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1098352671.307",,"1098352671.307","0","true","false",
"S","A","20230101","2023","52","2023","191","HRV","Croatia","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","294105066.544",,"294105066.544","0","true","false",
"S","A","20230101","2023","52","2023","191","HRV","Croatia","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1101812730.913",,"1101812730.913","0","true","false",
"S","A","20230101","2023","52","2023","196","CYP","Cyprus","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","745534713.49",,"745534713.49","0","true","false",
"S","A","20230101","2023","52","2023","196","CYP","Cyprus","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3978203506.704",,"3978203506.704","0","true","false",
"S","A","20230101","2023","52","2023","203","CZE","Czechia","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1277410755.938",,"1277410755.938","0","true","false",
"S","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3341228184.293",,"3341228184.293","0","true","false",
"S","A","20230101","2023","52","2023","208","DNK","Denmark","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","13643771916.074",,"13643771916.074","0","true","false",
"S","A","20230101","2023","52","2023","208","DNK","Denmark","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14460562236.91",,"14460562236.91","0","true","false",
"S","A","20230101","2023","52","2023","233","EST","Estonia","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","379200905.034",,"379200905.034","0","true","false",
"S","A","20230101","2023","52","2023","233","EST","Estonia","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","879828276.094",,"879828276.094","0","true","false",
"S","A","20230101","2023","52","2023","246","FIN","Finland","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3112972356.98",,"3112972356.98","0","true","false",
"S","A","20230101","2023","52","2023","246","FIN","Finland","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5157651317.4",,"5157651317.4","0","true","false",
"S","A","20230101","2023","52","2023","251","FRA","France","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","29463488626.38",,"29463488626.38","0","true","false",
"S","A","20230101","2023","52","2023","251","FRA","France","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","46698910429.18",,"46698910429.18","0","true","false",
